"Phone","Information","Kindergarten","CountInfo","CurrentCount"
"02-3394-9025","
유형 :국공립학급(반)수 :7정현원 :39/33교직원수 :10
비교선택 
초롱하나어린이집 초롱하나어린이집 초롱하나어린이집 이동 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 황물로 34
","초롱하나어린이집","정현원 :39/33","33"
"02-2212-6314","
유형 :국공립학급(반)수 :13정현원 :57/57교직원수 :15
비교선택 
태양하나어린이집 태양하나어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 황물로 32
","태양하나어린이집","정현원 :57/57","57"
"02-2245-9544","
유형 :국공립학급(반)수 :8정현원 :125/94교직원수 :13
비교선택 
하랑어린이집 하랑어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 107동 106호 (답십리동, 래미안위브아파트)
","하랑어린이집","정현원 :125/94","94"
"02-579-1547","
유형 :가정학급(반)수 :13정현원 :20/5교직원수 :4
비교선택 
호수어린이집 호수어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 403동 106호(답십리동, 래미안위브)
","호수어린이집","정현원 :20/5","5"
"02-2214-2230","
유형 :국공립학급(반)수 :7정현원 :20/20교직원수 :8
비교선택 
휴사랑어린이집 휴사랑어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 서울시립대로 14 청계한신휴플러스107-104 (답십리동)
","휴사랑어린이집","정현원 :20/20","20"
"02-2244-4117","
유형 :가정학급(반)수 :14정현원 :17/16교직원수 :8
비교선택 





자연어린이집 자연어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로37길 33 104동 104호(답십리동,래미안엘파인아파트)
","자연어린이집","정현원 :17/16","16"
"02-2213-1566","
유형 :국공립학급(반)수 :13정현원 :20/20교직원수 :8
비교선택 
조은어린이집 조은어린이집 연장보육반 평가참여 재인증(2회) B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로56길 21-1 두산아파트단지내 조은어린이집
","조은어린이집","정현원 :20/20","20"
"02-2244-4220","
유형 :민간학급(반)수 :11정현원 :120/115교직원수 :18
비교선택 
지니맘어린이집 지니맘어린이집 지니맘어린이집 이동 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로11다길 86 (답십리동)
","지니맘어린이집","정현원 :120/115","115"
"070-8111-0030","
유형 :가정학급(반)수 :13정현원 :20/20교직원수 :7
비교선택 
청솔어린이집 청솔어린이집 청솔어린이집 이동 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 전농로10길 20 (답십리동)
","청솔어린이집","정현원 :20/20","20"
"02-3394-5026","
유형 :국공립학급(반)수 :7정현원 :35/30교직원수 :10
비교선택 
파크자이어린이집 파크자이어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로56길 105 관리동(답십리동,파크자이아파트)
","파크자이어린이집","정현원 :35/30","30"
"02-3394-7987","
유형 :국공립학급(반)수 :9정현원 :30/30교직원수 :12
비교선택 
푸른솔유치원 푸른솔유치원 푸른솔유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 전농로10길 20
","푸른솔유치원","정현원 :30/30","30"
"02-2243-3553","
유형 :사립(사인)학급(반)수 :3정현원 :128/33교직원수 :6
비교선택 
비교선택 
하랑어린이집 하랑어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 107동 106호 (답십리동, 래미안위브아파트)
","하랑어린이집","정현원 :128/33","33"
"02-579-1547","
유형 :가정학급(반)수 :13정현원 :20/5교직원수 :4
비교선택 
호수어린이집 호수어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 130 403동 106호(답십리동, 래미안위브)
","호수어린이집","정현원 :20/5","5"
"02-2214-2230","
유형 :국공립학급(반)수 :7정현원 :20/20교직원수 :8
비교선택 
휴사랑어린이집 휴사랑어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 서울시립대로 14 청계한신휴플러스107-104 (답십리동)
","휴사랑어린이집","정현원 :20/20","20"
"02-2244-4117","
유형 :가정학급(반)수 :14정현원 :17/16교직원수 :8



기관명 정순유형 정순학급(반)수 정순
그림유치원 그림유치원 그림유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로56길 21
","그림유치원","정현원 :17/16","16"
"02-3394-6254","
유형 :사립(사인)학급(반)수 :9정현원 :176/158교직원수 :25
비교선택 
대림늘푸른어린이집 대림늘푸른어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로60길 40 (답십리동)
","대림늘푸른어린이집","정현원 :176/158","158"
"02-2217-7900","
유형 :국공립학급(반)수 :8정현원 :60/48교직원수 :10
비교선택 
더불어숲어린이집 더불어숲어린이집 더불어숲어린이집 이동 연장보육반 평가참여 재인증(2회) B
스카이뷰위치로드뷰
서울특별시 동대문구 한천로33길 11 래미안 엘파인아파트 단지동 (답십리동)
","더불어숲어린이집","정현원 :60/48","48"
"02-6253-1004","
유형 :민간학급(반)수 :12정현원 :49/18교직원수 :7
비교선택 
동아개구쟁이어린이집 동아개구쟁이어린이집 연장보육반 평가참여 재인증(2회) C
스카이뷰위치로드뷰
서울특별시 동대문구 한천로11길 10-1 104동 103호(답십리동, 동아아파트)
","동아개구쟁이어린이집","정현원 :49/18","18"
"02-2217-1233","
유형 :가정학급(반)수 :18정현원 :20/19교직원수 :7
비교선택 
동아어린이집 동아어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로11길 10-1 동아아파트 단지내 유치원동 (답십리동)
","동아어린이집","정현원 :20/19","19"
"02-2242-8337","
유형 :민간학급(반)수 :14정현원 :82/39교직원수 :14
비교선택 
두산오르다어린이집 두산오르다어린이집 두산오르다어린이집 이동 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로56길 8 (답십리동)
","두산오르다어린이집","정현원 :82/39","39"
"02-2243-0532","
유형 :민간학급(반)수 :6정현원 :35/28교직원수 :9
비교선택 
라온유치원 라온유치원 라온유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로48길 56
","라온유치원","정현원 :35/28","28"
"02-2217-0430","
유형 :사립(사인)학급(반)수 :3정현원 :51/51교직원수 :6
비교선택 
아이꿈어린이집 아이꿈어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 210-30 2동 114호(답십리동, 한신아파트)
","아이꿈어린이집","정현원 :51/51","51"
"02-6495-0058","
유형 :가정학급(반)수 :11정현원 :20/14교직원수 :6
비교선택 
아이숲어린이집 아이숲어린이집 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 전농로10길 20 101동 102호(답십리동, 청솔우성아파트)
","아이숲어린이집","정현원 :20/14","14"
"02-2212-0567","
유형 :가정학급(반)수 :8정현원 :20/19교직원수 :7
비교선택 
우성그린어린이집 우성그린어린이집 연장보육반 평가참여 B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로59길 33 102동 101호(답십리동, 우성그린아파트)
","우성그린어린이집","정현원 :20/19","19"
"02-6213-0623","
유형 :가정학급(반)수 :14정현원 :20/14교직원수 :8
비교선택 

장안 1동
가온어린이집 가온어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 천호대로89길 30 101동 109호(장안동,은하수드림필아파트)
","가온어린이집","정현원 :20/14","14"
"02-2215-3342","
유형 :국공립학급(반)수 :13정현원 :20/20교직원수 :7
비교선택 
꼬꼬마어린이집 꼬꼬마어린이집 꼬꼬마어린이집 이동 연장보육반 평가참여 B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로68길 52-4
","꼬꼬마어린이집","정현원 :20/20","20"
"02-2213-2020","
유형 :가정학급(반)수 :9정현원 :19/11교직원수 :4
비교선택 
꼬마별어린이집 꼬마별어린이집 연장보육반 평가참여 재인증(2회) B
스카이뷰위치로드뷰
서울특별시 동대문구 천호대로89길 33 202동 102호(장안동, 형인허브빌아파트)
","꼬마별어린이집","정현원 :19/11","11"
"02-2245-3600","
유형 :가정학급(반)수 :7정현원 :19/13교직원수 :7
비교선택 
꿈둥이어린이집 꿈둥이어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 105동 104호 (장안동, 현대홈타운아파트)
","꿈둥이어린이집","정현원 :19/13","13"
"02-3394-8300","
유형 :가정학급(반)수 :9정현원 :20/18교직원수 :8
비교선택 
다사랑어린이집 다사랑어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 116-106(장안동, 현대홈타운아파트)
","다사랑어린이집","정현원 :20/18","18"
"02-3390-5550","
유형 :가정학급(반)수 :10정현원 :20/16교직원수 :7
비교선택 
동그라미어린이집 동그라미어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 천호대로77길 63 101동 104호(장안동, 대명이룸아파트)
","동그라미어린이집","정현원 :20/16","16"
"02-2248-0103","
유형 :가정학급(반)수 :6정현원 :20/20교직원수 :7
비교선택 
메꽃어린이집 메꽃어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로 320-1
","메꽃어린이집","정현원 :20/20","20"
"02-2212-6096","
유형 :국공립학급(반)수 :10정현원 :94/57교직원수 :12
비교선택 
별밭어린이집 별밭어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로66길 3 (장안동)
","별밭어린이집","정현원 :94/57","57"
"02-2215-0248","
유형 :국공립학급(반)수 :9정현원 :99/73교직원수 :12
비교선택 
별초롱어린이집 별초롱어린이집 연장보육반 -  
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 104동 102호
","별초롱어린이집","정현원 :99/73","73"
"02-2217-8880","
유형 :가정학급(반)수 :5정현원 :20/11교직원수 :5
비교선택 
브레인에듀어린이집 브레인에듀어린이집 연장보육반 평가참여 인증(1회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 116동 103호(장안동, 현대홈타운아파트)
","브레인에듀어린이집","정현원 :20/11","11"
"02-2241-7879","
유형 :가정학급(반)수 :16정현원 :20/17교직원수 :8
비교선택 

기관명 정순유형 정순학급(반)수 정순
사군자어린이집 사군자어린이집 연장보육반 평가참여 재인증(3회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장한로5길 45 (장안동)
","사군자어린이집","정현원 :20/17","17"
"02-2246-5801","
유형 :민간학급(반)수 :6정현원 :34/13교직원수 :5
비교선택 
사군자유치원 사군자유치원 -  
스카이뷰위치로드뷰
서울특별시 동대문구 장한로5길 51
","사군자유치원","정현원 :34/13","13"
"02-2245-5801","
유형 :사립(사인)학급(반)수 :1정현원 :60/18교직원수 :3
비교선택 
삼성어린이집 삼성어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로26길 43
","삼성어린이집","정현원 :60/18","18"
"02-2243-5033","
유형 :국공립학급(반)수 :11정현원 :66/66교직원수 :14
비교선택 
새서울어린이집 새서울어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로26길 23 (장안동)
","새서울어린이집","정현원 :66/66","66"
"02-2245-4804","
유형 :가정학급(반)수 :8정현원 :20/8교직원수 :5
비교선택 
서울군자초등학교병설유치원 서울군자초등학교병설유치원 서울군자초등학교병설유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 한천로6길 21
","서울군자초등학교병설유치원","정현원 :20/8","8"
"02-2212-8456","
유형 :공립(병설)학급(반)수 :6정현원 :112/77교직원수 :13
비교선택 
세하유치원 세하유치원 세하유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107
","세하유치원","정현원 :112/77","77"
"02-2213-1382","
유형 :사립(사인)학급(반)수 :5정현원 :254/96교직원수 :15
비교선택 
아라어린이집 아라어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로14길 81 106동 104호 (장안동, 삼성래미안1차아파트)
","아라어린이집","정현원 :254/96","96"
"02-6071-0012","
유형 :가정학급(반)수 :8정현원 :20/11교직원수 :6
비교선택 
아이세상어린이집 아이세상어린이집 아이세상어린이집 이동 연장보육반 평가참여 재인증(4회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 115동 104호(장안동, 현대홈타운아파트)
","아이세상어린이집","정현원 :20/11","11"
"02-2249-5624","
유형 :가정학급(반)수 :11정현원 :20/0교직원수 :1
비교선택 
장안어린이집 장안어린이집 장안어린이집 이동 연장보육반 평가참여 재인증(4회) B
스카이뷰위치로드뷰
서울특별시 동대문구 천호대로89길 58 (장안동)
","장안어린이집","정현원 :20/0","0"
"02-2212-5178","
유형 :국공립학급(반)수 :18정현원 :164/133교직원수 :27
비교선택 
장안현대어린이집 장안현대어린이집 연장보육반 평가참여 재인증(3회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 현대홈타운아파트 단지동 (장안동)
","장안현대어린이집","정현원 :164/133","133"
"02-2214-7051","
유형 :민간학급(반)수 :14정현원 :84/77교직원수 :15
비교선택 

파랑새어린이집 파랑새어린이집 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 108동 102호(장안동, 현대홈타운아파트)
","파랑새어린이집","정현원 :84/77","77"
"02-2243-3935","
유형 :국공립학급(반)수 :11정현원 :20/18교직원수 :8
비교선택 
포르테몬테소리어린이집 포르테몬테소리어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로12길 76-1
","포르테몬테소리어린이집","정현원 :20/18","18"
"02-2247-1263","
유형 :민간학급(반)수 :10정현원 :80/75교직원수 :15
비교선택 
푸른나무어린이집 푸른나무어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로14길 81 삼성래미안1차아파트 관리동 1층
","푸른나무어린이집","정현원 :80/75","75"
"02-2215-3373","
유형 :민간학급(반)수 :5정현원 :39/20교직원수 :7
비교선택 
푸른하늘어린이집 푸른하늘어린이집 연장보육반 평가참여 재인증(4회) B
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로66길 75-4 (장안동 393-2)
","푸른하늘어린이집","정현원 :39/20","20"
"02-2212-1036","
유형 :국공립학급(반)수 :15정현원 :157/110교직원수 :22
비교선택 
한울어린이집 한울어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 107 102동 101호(장안동,현대홈타운)
","한울어린이집","정현원 :157/110","110"
"02-6457-0087","
유형 :국공립학급(반)수 :11정현원 :20/17교직원수 :8
비교선택 
해리어린이집 해리어린이집 해리어린이집 이동 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로66길 20 101동 101호(장안동, 금강아미움 아파트)
","해리어린이집","정현원 :20/17","17"
"02-2246-2270","
유형 :가정학급(반)수 :14정현원 :20/13교직원수 :7
비교선택 
해피트리어린이집 해피트리어린이집 연장보육반 평가참여 재인증(2회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장한로5길 28 301동 106호(장안동, 신일해피트리3차아파트)
","해피트리어린이집","정현원 :20/13","13"
"02-2244-3533","
유형 :가정학급(반)수 :8정현원 :20/13교직원수 :6
비교선택 

장안 2동

기관명 정순유형 정순학급(반)수 정순
길터어린이집 길터어린이집 길터어린이집 이동 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로36길 15 신부 3차 아파트 102호 길터어린이집 (장안동)
","길터어린이집","정현원 :20/13","13"
"02-2245-5123","
유형 :가정학급(반)수 :3정현원 :13/0교직원수 :3
비교선택 
꿀벌어린이집 꿀벌어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 224동 102호(장안동, 장안아파트2단지)
","꿀벌어린이집","정현원 :13/0","0"
"02-2249-3739","
유형 :가정학급(반)수 :8정현원 :20/17교직원수 :8
비교선택 
누리보듬어린이집 누리보듬어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로1길 7 1003동 104호(장안동, 힐스테이트아파트)
","누리보듬어린이집","정현원 :20/17","17"
"02-2212-1256","
유형 :국공립학급(반)수 :10정현원 :20/20교직원수 :7
비교선택 
데시앙어린이집 데시앙어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로27길 37 관리동(장안동, 더퍼스트데시앙아파트)
","데시앙어린이집","정현원 :20/20","20"
"02-6053-6601","
유형 :국공립학급(반)수 :7정현원 :26/26교직원수 :10
비교선택 
딸기어린이집 딸기어린이집 연장보육반 평가참여 B
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 210동 103호 (장안동, 래미안장안2차아파트)
","딸기어린이집","정현원 :26/26","26"
"02-3394-6660","
유형 :가정학급(반)수 :6정현원 :19/5교직원수 :4
비교선택 
미소가득한어린이집 미소가득한어린이집 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 사가정로23길 40 경남하이빌102호 (장안동)
","미소가득한어린이집","정현원 :19/5","5"
"02-6012-4345","
유형 :가정학급(반)수 :13정현원 :20/6교직원수 :3
비교선택 
배봉어린이집 배봉어린이집 배봉어린이집 이동 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 사가정로25길 51 (장안동)
","배봉어린이집","정현원 :20/6","6"
"02-2217-2070","
유형 :국공립학급(반)수 :12정현원 :99/72교직원수 :14
비교선택 
사과나무어린이집 사과나무어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 205동 102호(장안동, 장안아파트2단지)
","사과나무어린이집","정현원 :99/72","72"
"02-446-3791","
유형 :가정학급(반)수 :9정현원 :20/16교직원수 :8
비교선택 
새일문유치원 새일문유치원 새일문유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 장한로 165
","새일문유치원","정현원 :20/16","16"
"02-2212-6229","
유형 :사립(사인)학급(반)수 :2정현원 :60/48교직원수 :7
비교선택 
서울장평초등학교병설유치원 서울장평초등학교병설유치원 서울장평초등학교병설유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 답십리로69길 27
","서울장평초등학교병설유치원","정현원 :60/48","48"
"02-2213-3086","
유형 :공립(병설)학급(반)수 :3정현원 :62/50교직원수 :7
비교선택 

기관명 정순유형 정순학급(반)수 정순
솔향기어린이집 솔향기어린이집 솔향기어린이집 이동 연장보육반 평가참여 A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로26다길 77
","솔향기어린이집","정현원 :62/50","50"
"02-2213-1095","
유형 :국공립학급(반)수 :8정현원 :49/35교직원수 :11
비교선택 
송림어린이집 송림어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 209동 103호(장안동, 장안아파트2단지)
","송림어린이집","정현원 :49/35","35"
"02-2212-8480","
유형 :가정학급(반)수 :7정현원 :20/9교직원수 :6
비교선택 
연세어린이집 연세어린이집 연세어린이집 이동 연장보육반 평가참여 재인증(3회) B
스카이뷰위치로드뷰
서울특별시 동대문구 장한로27나길 65
","연세어린이집","정현원 :20/9","9"
"02-2245-6390","
유형 :국공립학급(반)수 :11정현원 :79/75교직원수 :15
비교선택 
예든어린이집 예든어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장한로26다길 84 201동 105호(장안동, 현대홈타운아파트)
","예든어린이집","정현원 :79/75","75"
"02-6414-8600","
유형 :가정학급(반)수 :7정현원 :20/6교직원수 :5
비교선택 
예지어린이집 예지어린이집 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로1길 7 힐스테이트 단지내 (장안동)
","예지어린이집","정현원 :20/6","6"
"02-3394-6679","
유형 :민간학급(반)수 :6정현원 :33/19교직원수 :9
비교선택 
이화어린이집 이화어린이집 이화어린이집 이동 연장보육반 평가참여 B
스카이뷰위치로드뷰
서울특별시 동대문구 장한로26다길 38
","이화어린이집","정현원 :33/19","19"
"02-2212-6717","
유형 :민간학급(반)수 :9정현원 :22/10교직원수 :6
비교선택 
정원유치원 정원유치원 정원유치원 이동 -  
스카이뷰위치로드뷰
서울특별시 동대문구 사가정로 276-19
02)3390-9940
유형 :사립(사인)학급(반)수 :6정현원 :122/122교직원수 :12
비교선택 
조앤아이어린이집 조앤아이어린이집 연장보육반 평가참여 재인증(2회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 215동 102호(장안동, 장안아파트2단지)
","정원유치원","정현원 :22/10","10"
"02-2246-2789","
유형 :가정학급(반)수 :5정현원 :20/13교직원수 :7
비교선택 
칼비테영재어린이집 칼비테영재어린이집 칼비테영재어린이집 이동 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 214동 102호(장안동, 장안아파트2단지)
","칼비테영재어린이집","정현원 :20/13","13"
"02-2215-0010","
유형 :국공립학급(반)수 :16정현원 :20/19교직원수 :8
비교선택 
한아름어린이집 한아름어린이집 연장보육반 평가참여 재인증(4회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로 167 삼성래미안2차아파트단지내 (장안동)
","한아름어린이집","정현원 :20/19","19"
"02-2245-0105","
유형 :국공립학급(반)수 :11정현원 :86/82교직원수 :15
비교선택 

기관명 정순유형 정순학급(반)수 정순
해맑은어린이집 해맑은어린이집 연장보육반 평가참여 인증(1회) A
스카이뷰위치로드뷰
서울특별시 동대문구 한천로46길 70-9 (장안동)
","해맑은어린이집","정현원 :86/82","82"
"02-2243-0088","
유형 :국공립학급(반)수 :8정현원 :91/73교직원수 :14
비교선택 
현대참사랑어린이집 현대참사랑어린이집 연장보육반 평가참여 재인증(3회) A
스카이뷰위치로드뷰
서울특별시 동대문구 장안벚꽃로1길 7 1008동 102호(장안동, 장안힐스테이트아파트)
","현대참사랑어린이집","정현원 :91/73","73"
"02-2249-6655","
유형 :가정학급(반)수 :8정현원 :20/12교직원수 :8
비교선택 ",NA,"정현원 :20/12","12"
